Country,Latitude,Longitude,GNI,GDP,Population,UNRP10,UNRP20,WBGini,GenderGapRank2013,GenderGapScore2013,EconomicRank2013,EconomicScore2013,EducationalRank2013,EducationalScore2013,HealthRank2013,HealthScore2013,PoliticalRank2013,PoliticalScore2013,TotalGold2014,TotalSilver2014,TotalBronze2014,TotalMedals2014,WomenGold2014,WomenSilver2014,WomenBronze2014,WomenMedals2014,WomenMedals2014Sqrt,MenGold2014,MenSilver2014,MenBronze2014,MenMedals2014,MenMedals2014Sqrt,TotalGold2012,TotalSilver2012,TotalBronze2012,WomenMedals2012,MenMedals2012,TotalMedals2012,TotalMedals2012and2014,TotalMedals2012and2014SQRT,TotMed1214per_,TotMed1214perPop,TotMedWom1214,TotMedMen1214,TotMedWom1214sqrt,TotMedMen1214sqrt
French Polynes,73,329,,3448,273814,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,90,171,14290,18661,1632572,0,,41.5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Georgia,131,136,5860,15829,4511800,15.4,8.3,41.3,86,0.675,64,0.6741,89,0.979,126,0.9553,97,0.0915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,7,7,2.65,0,0,0,3,0,1.73
Germany,142,167,41370,3430589,81889839,6.9,4.3,28.3,14,0.7583,46,0.712,86,0.9818,49,0.978,15,0.3611,8,6,5,19,3,3,3,9,3,3,3,1,7,2.65,11,19,14,21,42,44,63,7.94,0,0,30,49,5.48,7
Ghana,95,180,1940,40710,25366462,14.1,8.4,42.8,76,0.6811,24,0.7662,111,0.897,104,0.9674,95,0.0937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Britain,141,180,35800,2435174,63227526,13.8,7.2,34,18,0.744,35,0.732,31,0.9994,92,0.9698,29,0.2747,1,1,2,4,1,0,2,3,1.73,0,1,0,1,1,29,17,19,28,60,65,69,8.31,,0,31,61,5.57,7.81
Greece,127,157,24790,249099,11280167,10.2,6.2,34.3,81,0.6782,79,0.647,46,0.9953,65,0.9737,92,0.0969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1.41,0,0,2,1,1.41,1
Grenada,102,241,10300,790,105483,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
Guatemala,104,270,4960,50806,15082831,33.9,20.3,55.9,114,0.6304,113,0.5422,102,0.9522,1,0.9796,123,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1
Guinea,99,193,980,6768,11451273,10.5,6.6,39.4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,90,180,3400,2851,795369,0,,44.5,48,0.7085,102,0.5885,1,1,45,0.9789,33,0.2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,108,252,1240,7843,10173775,54.4,26.6,59.2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,104,267,3890,17967,7935846,59.4,17.2,57,82,0.6773,94,0.6061,35,0.9988,52,0.9762,78,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,112,66,53050,263259,7154600,17.8,9.7,53.3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0
Hungary,137,161,20200,125508,9943755,5.5,3.8,31.2,87,0.6742,68,0.6677,62,0.9925,34,0.9791,120,0.0574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,7,14,18,18,4.24,0,0,7,14,2.65,3.74
Iceland,154,201,33550,13657,320137,0,,,1,0.8731,22,0.7684,1,1,97,0.9696,1,0.7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,118,103,3840,1841717,1.24E+09,8.6,5.6,33.4,101,0.6551,124,0.4465,120,0.8574,135,0.9312,9,0.3852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,6,6,2.45,0,0,2,2,1.41,1.41
Indonesia,84,74,4810,878043,2.47E+08,7.8,5.2,34,95,0.6613,103,0.5881,101,0.9574,107,0.9663,75,0.1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,1.41,0,0,0,2,0,1.41
Iran,125,129,10320,514060,76424443,17.2,9.7,38.3,130,0.5842,130,0.3655,98,0.9653,87,0.9714,129,0.0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,8,12,12,3.46,0,0,0,8,0,2.83
Iraq,123,129,4300,210280,32578209,0,,30.9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,143,186,35110,210331,4588798,9.4,5.6,34.3,6,0.7823,29,0.745,34,0.9988,65,0.9737,6,0.4115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,5,5,2.24,0,0,1,1,1,1
Israel,121,145,28070,258217,7907900,13.4,7.9,39.2,53,0.7032,56,0.6915,82,0.9874,93,0.9697,57,0.1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,131,168,32280,2013263,60917978,11.6,6.5,36,71,0.6885,97,0.5973,65,0.9924,72,0.9733,44,0.1912,0,2,6,8,0,1,3,4,2,0,1,2,3,1.73,8,9,11,6,16,28,36,6,0,0,10,19,3.16,4.36
Jamaica,108,256,6660,14840,2712100,17.3,9.8,45.5,47,0.7085,36,0.7317,80,0.9884,1,0.9796,74,0.1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,12,12,3.46,0,0,2,4,1.41,2
